system:index,month,ndvi_mean,ndwi_max,ndwi_mean,rainfall_mm_x,year,.geo,year_month,temperature_c,rainfall_mm,humidity_percent,month_sin,month_cos,ndvi_mean_lag1,ndwi_mean_lag1,ndwi_mean_lag2,rainfall_lag1,rainfall_lag2,rainfall_roll3,temperature_lag1,humidity_lag1,rain_humidity_interaction_lag1,flood_risk
11,12,0.530980459513725,0.3887850467289719,-0.4334708395078274,24.36667419604792,2020,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-12,19.77,31.6,75.52,-2.4492935982947064e-16,1.0,0.5003326237507334,-0.4017690144260566,-0.2093702680441678,74.0,201.9,273.3666666666666,20.05,79.57,5888.179999999999,0
0,1,0.5373927566214396,0.3343202566000493,-0.4324894998667415,37.52323563508679,2021,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01,19.49,81.7,77.55,0.49999999999999994,0.8660254037844387,0.530980459513725,-0.4334708395078274,-0.4017690144260566,31.6,74.0,102.49999999999996,19.77,75.52,2386.432,0
1,2,0.5742519151059469,0.3987941429801895,-0.4647134521502475,8.336375057435344,2021,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02,19.63,20.8,70.36,0.8660254037844386,0.5000000000000001,0.5373927566214396,-0.4324894998667415,-0.4334708395078274,81.7,31.6,62.4333333333333,19.49,77.55,6335.835,0
2,3,0.5490000439202173,0.3318402388951101,-0.452731175328794,21.278170325595017,2021,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-03,22.06,12.1,68.29,1.0,6.123233995736766e-17,0.5742519151059469,-0.4647134521502475,-0.4324894998667415,20.8,81.7,44.69999999999997,19.63,70.36,1463.488,0
3,4,0.5113251806763466,0.2991568296795953,-0.4196976190220092,95.8309331247909,2021,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-04,21.66,166.7,85.87,0.8660254037844387,-0.4999999999999998,0.5490000439202173,-0.452731175328794,-0.4647134521502475,12.1,20.8,38.19999999999997,22.06,68.29,826.3090000000001,0
4,5,0.187748430086331,0.1795302013422818,-0.1705139510867173,258.65845326159854,2021,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-05,20.78,349.5,92.1,0.49999999999999994,-0.8660254037844387,0.5113251806763466,-0.4196976190220092,-0.452731175328794,166.7,12.1,66.53333333333329,21.66,85.87,14314.529,0
5,6,0.1717620635290474,0.1416490486257928,-0.161922197192816,357.18820892653747,2021,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-06,19.77,366.9,93.43,1.2246467991473532e-16,-1.0,0.187748430086331,-0.1705139510867173,-0.4196976190220092,349.5,166.7,176.09999999999994,20.78,92.1,32188.949999999997,1
6,7,0.0406675517698451,0.047911787665886,-0.0509665807280841,855.0516509394386,2021,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-07,19.13,842.6,96.48,-0.4999999999999997,-0.8660254037844388,0.1717620635290474,-0.161922197192816,-0.1705139510867173,366.9,349.5,294.3666666666666,19.77,93.43,34279.467,1
7,8,0.020475492287104,0.0362446268073466,-0.0336604951535016,512.0630292046335,2021,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-08,19.21,484.2,95.29,-0.8660254037844384,-0.5000000000000004,0.0406675517698451,-0.0509665807280841,-0.161922197192816,842.6,366.9,519.6666666666666,19.13,96.48,81294.04800000001,1
8,9,0.0674380144867269,0.1456410256410256,-0.0727282192832529,182.80515575542,2021,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-09,19.42,348.1,94.1,-1.0,-1.8369701987210297e-16,0.020475492287104,-0.0336604951535016,-0.0509665807280841,484.2,842.6,564.5666666666666,19.21,95.29,46139.418000000005,1
