system:index,month,ndvi_mean,ndwi_max,ndwi_mean,rainfall_mm_x,year,.geo,year_month,temperature_c,rainfall_mm,humidity_percent,month_sin,month_cos,ndvi_mean_lag1,ndwi_mean_lag1,ndwi_mean_lag2,rainfall_lag1,rainfall_lag2,rainfall_roll3,temperature_lag1,humidity_lag1,rain_humidity_interaction_lag1,flood_risk
9,10,0.1140442738617433,0.1778306698401904,-0.1067986425558446,299.8550913200616,2024,"{""type"":""MultiPoint"",""coordinates"":[]}",2024-10,19.86,260.8,91.1,-0.8660254037844386,0.5000000000000001,0.0671888119512638,-0.069294689240848,-0.0397751764084525,222.8,383.1,459.46666666666664,19.6,93.0,20720.4,1
10,11,0.2361905384307956,0.1543156059285091,-0.1959371412179614,41.628293457173726,2024,"{""type"":""MultiPoint"",""coordinates"":[]}",2024-11,20.09,75.7,79.8,-0.5000000000000004,0.8660254037844384,0.1140442738617433,-0.1067986425558446,-0.069294689240848,260.8,222.8,288.8999999999999,19.86,91.1,23758.88,0
11,12,0.3398666801424878,0.1693875188144031,-0.2788502135892328,68.5731600011688,2024,"{""type"":""MultiPoint"",""coordinates"":[]}",2024-12,19.74,60.3,81.71,-2.4492935982947064e-16,1.0,0.2361905384307956,-0.1959371412179614,-0.1067986425558446,75.7,260.8,186.43333333333328,20.09,79.8,6040.86,0
0,1,0.3525561502072256,0.1980066445182724,-0.2941886128706316,7.969854734106057,2025,"{""type"":""MultiPoint"",""coordinates"":[]}",2025-01,19.76,3.4,65.9,0.49999999999999994,0.8660254037844387,0.3398666801424878,-0.2788502135892328,-0.1959371412179614,60.3,75.7,132.2666666666666,19.74,81.71,4927.112999999999,0
1,2,0.3448918135116595,0.2190520018407731,-0.2921764579922853,5.219042733683665,2025,"{""type"":""MultiPoint"",""coordinates"":[]}",2025-02,21.76,0.9,53.25,0.8660254037844386,0.5000000000000001,0.3525561502072256,-0.2941886128706316,-0.2788502135892328,3.4,60.3,46.46666666666659,19.76,65.9,224.06,0
2,3,0.3283197144639085,0.1388416638331633,-0.2753111262143999,90.72192598688726,2025,"{""type"":""MultiPoint"",""coordinates"":[]}",2025-03,22.93,32.5,70.32,1.0,6.123233995736766e-17,0.3448918135116595,-0.2921764579922853,-0.2941886128706316,0.9,3.4,21.533333333333257,21.76,53.25,47.925000000000004,0
3,4,0.3401423996954333,0.1089377886443901,-0.2815203334023902,139.35039108434873,2025,"{""type"":""MultiPoint"",""coordinates"":[]}",2025-04,22.1,133.7,82.73,0.8660254037844387,-0.4999999999999998,0.3283197144639085,-0.2753111262143999,-0.2921764579922853,32.5,0.9,12.26666666666659,22.93,70.32,2285.3999999999996,0
4,5,0.075178708400088,0.2150362907593976,-0.0761990771502196,328.72236685629895,2025,"{""type"":""MultiPoint"",""coordinates"":[]}",2025-05,20.81,610.8,90.26,0.49999999999999994,-0.8660254037844387,0.3401423996954333,-0.2815203334023902,-0.2753111262143999,133.7,32.5,55.699999999999925,22.1,82.73,11061.001,1
5,6,0.0791832550636565,0.0882146790828076,-0.0821995696171505,466.7464767203364,2025,"{""type"":""MultiPoint"",""coordinates"":[]}",2025-06,19.61,359.5,94.27,1.2246467991473532e-16,-1.0,0.075178708400088,-0.0761990771502196,-0.2815203334023902,610.8,133.7,258.99999999999994,20.81,90.26,55130.808,1
6,7,-0.003339461647073,0.0343603897932743,-0.0126459861690012,576.0065179722377,2025,"{""type"":""MultiPoint"",""coordinates"":[]}",2025-07,18.75,773.5,97.32,-0.4999999999999997,-0.8660254037844388,0.0791832550636565,-0.0821995696171505,-0.0761990771502196,359.5,610.8,367.99999999999994,19.61,94.27,33890.064999999995,1
7,8,0.006657214499794,0.0737487801477763,-0.0202312015199716,846.5883611770217,2025,"{""type"":""MultiPoint"",""coordinates"":[]}",2025-08,18.97,568.9,95.16,-0.8660254037844384,-0.5000000000000004,-0.003339461647073,-0.0126459861690012,-0.0821995696171505,773.5,359.5,581.2666666666665,18.75,97.32,75277.01999999999,1
8,9,0.0359514776218146,0.0360212584476084,-0.0443535883981015,111.68538855515092,2025,"{""type"":""MultiPoint"",""coordinates"":[]}",2025-09,19.24,230.4,93.5,-1.0,-1.8369701987210297e-16,0.006657214499794,-0.0202312015199716,-0.0126459861690012,568.9,773.5,567.2999999999998,18.97,95.16,54136.524,1
9,10,0.1048271728752935,0.1773265283961342,-0.0978578511279228,255.9104658788588,2025,"{""type"":""MultiPoint"",""coordinates"":[]}",2025-10,20.06,220.7,89.13,-0.8660254037844386,0.5000000000000001,0.0359514776218146,-0.0443535883981015,-0.0202312015199716,230.4,568.9,524.2666666666665,19.24,93.5,21542.4,1
10,11,0.3735282944721886,0.1920453453741954,-0.3052440143144106,40.58664232118922,2025,"{""type"":""MultiPoint"",""coordinates"":[]}",2025-11,19.65,23.6,81.13,-0.5000000000000004,0.8660254037844384,0.1048271728752935,-0.0978578511279228,-0.0443535883981015,220.7,230.4,339.99999999999994,20.06,89.13,19670.990999999998,0
11,12,0.3512129134848297,0.1523783185840708,-0.2903320633160726,22.572264700405896,2025,"{""type"":""MultiPoint"",""coordinates"":[]}",2025-12,18.35,9.0,71.87,-2.4492935982947064e-16,1.0,0.3735282944721886,-0.3052440143144106,-0.0978578511279228,23.6,220.7,158.23333333333326,19.65,81.13,1914.6680000000001,0
