system:index,month,ndvi_mean,ndwi_max,ndwi_mean,rainfall_mm,year,.geo,year_month
0,1.0,0.6049679431065331,0.5143866733972741,-0.4858891634607624,4.677958975147611,2020,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-1.0
1,2.0,0.5362432374629567,0.3725202057310801,-0.433099920668302,5.760003438547259,2020,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-2.0
2,3.0,0.5337237090324153,0.3241330502476999,-0.4468616755172359,9.148303080167818,2020,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-3.0
3,4.0,0.5014495793318338,0.2668203730874031,-0.4158616002133076,75.15369509873095,2020,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-4.0
4,5.0,0.388576465780181,0.1030126336248785,-0.3295141974747858,194.2589772182984,2020,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-5.0
5,6.0,0.2038934985000005,0.3001255755546254,-0.1852481158958106,583.8109798911364,2020,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-6.0
6,7.0,0.0754520854394597,0.0350052485053169,-0.0815567097607564,866.0660925242806,2020,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-7.0
7,8.0,0.0282406015312438,0.0274267802918993,-0.0416958841648195,716.6961503267927,2020,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-8.0
8,9.0,0.1366961589214732,0.3417976622329706,-0.130720362941661,434.88657858126675,2020,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-9.0
9,10.0,0.2415935625795346,0.3438556933483653,-0.2093702680441678,169.61643466587265,2020,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-10.0
10,11.0,0.5003326237507334,0.4610136452241715,-0.4017690144260566,48.08405003556953,2020,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-11.0
11,12.0,0.530980459513725,0.3887850467289719,-0.4334708395078274,24.36667419604792,2020,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-12.0
0,1.0,0.5373927566214396,0.3343202566000493,-0.4324894998667415,37.52323563508679,2021,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-1.0
1,2.0,0.5742519151059469,0.3987941429801895,-0.4647134521502475,8.336375057435344,2021,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-2.0
2,3.0,0.5490000439202173,0.3318402388951101,-0.452731175328794,21.278170325595017,2021,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-3.0
3,4.0,0.5113251806763466,0.2991568296795953,-0.4196976190220092,95.8309331247909,2021,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-4.0
