date,temperature_c,rainfall_mm,humidity_percent
2018-08-22,18.6,13.2,95
2018-08-23,18.6,9.4,95
2018-08-24,18.6,5.2,93
2018-08-25,18.8,3.4,91
2018-08-26,18.5,7.4,95
2018-08-27,18.2,17.5,98
2018-08-28,18.4,18.2,97
2018-08-29,18.5,10.2,96
2018-08-30,18.6,8.2,96
2018-08-31,18.9,6.4,94
2018-09-01,19.2,3.6,91
2018-09-02,19.0,2.9,92
2018-09-03,18.9,2.2,89
2018-09-04,19.0,0.9,86
2018-09-05,18.9,1.0,89
2018-09-06,18.5,5.1,94
2018-09-07,18.5,6.5,96
2018-09-08,18.9,3.2,90
2018-09-09,19.6,0.2,84
2018-09-10,19.5,0.0,81
2018-09-11,19.9,9.9,88
2018-09-12,20.4,0.3,83
2018-09-13,19.5,0.1,82
2018-09-14,19.7,0.4,81
2018-09-15,20.1,0.0,80
2018-09-16,20.2,1.0,86
2018-09-17,19.3,1.9,92
2018-09-18,19.2,4.0,90
2018-09-19,19.0,1.8,90
2018-09-20,19.1,1.8,85
2018-09-21,19.2,3.0,87
2018-09-22,19.6,0.0,81
2018-09-23,20.0,3.0,85
2018-09-24,19.4,15.8,95
2018-09-25,20.0,4.1,89
2018-09-26,20.0,7.2,92
2018-09-27,20.2,13.1,91
2018-09-28,19.7,19.4,94
2018-09-29,20.0,3.6,92
2018-09-30,20.5,13.8,92
2018-10-01,21.0,3.1,87
2018-10-02,20.8,4.9,89
2018-10-03,21.1,3.8,89
2018-10-04,20.3,22.5,93
2018-10-05,20.3,19.3,92
2018-10-06,20.3,21.4,93
2018-10-07,21.5,1.0,86
2018-10-08,20.3,8.1,90
2018-10-09,19.4,19.2,94
2018-10-10,19.6,15.8,92
2018-10-11,20.6,0.5,85
2018-10-12,20.9,7.9,86
2018-10-13,20.3,3.2,87
2018-10-14,20.0,15.5,93
2018-10-15,19.8,6.9,95
2018-10-16,19.5,15.0,96
2018-10-17,19.2,15.0,92
2018-10-18,19.7,2.2,89
2018-10-19,19.8,11.6,93
2018-10-20,19.0,22.4,95
2018-10-21,19.5,6.4,82
2018-10-22,20.7,0.1,75
2018-10-23,20.4,0.0,75
2018-10-24,20.5,0.0,61
2018-10-25,20.1,0.0,65
2018-10-26,20.2,0.0,70
2018-10-27,20.0,0.0,65
2018-10-28,19.6,0.0,57
2018-10-29,19.7,0.0,58
2018-10-30,19.8,0.0,61
2018-10-31,20.6,0.1,67
2018-11-01,20.5,1.1,80
2018-11-02,20.6,1.0,82
2018-11-03,20.2,16.1,90
2018-11-04,21.2,2.3,82
2018-11-05,20.4,1.8,86
2018-11-06,20.7,0.2,74
2018-11-07,20.9,0.0,69
2018-11-08,19.9,0.0,59
2018-11-09,20.3,0.0,66
2018-11-10,20.3,0.0,68
2018-11-11,19.9,0.0,62
2018-11-12,20.2,0.0,65
2018-11-13,20.5,0.0,68
2018-11-14,20.2,0.0,55
2018-11-15,20.4,0.0,55
2018-11-16,20.8,0.7,78
2018-11-17,20.6,0.2,81
2018-11-18,19.7,12.1,89
2018-11-19,19.6,8.7,93
2018-11-20,20.6,0.5,82
2018-11-21,20.4,0.0,69
2018-11-22,20.1,2.9,84
2018-11-23,19.8,30.2,92
2018-11-24,19.8,9.0,90
2018-11-25,20.2,2.8,86
2018-11-26,20.5,0.0,80
2018-11-27,19.1,0.0,70
2018-11-28,18.4,0.0,72
2018-11-29,19.2,0.4,81
2018-11-30,19.8,1.5,83
2018-12-01,19.9,0.0,79
2018-12-02,19.5,0.1,75
2018-12-03,19.2,0.0,79
2018-12-04,19.4,1.7,85
2018-12-05,19.9,0.5,88
2018-12-06,20.0,1.1,85
2018-12-07,20.4,0.6,82
2018-12-08,20.3,0.0,77
2018-12-09,20.3,0.0,77
2018-12-10,19.6,0.0,85
2018-12-11,19.8,0.7,83
2018-12-12,20.2,0.0,72
2018-12-13,19.3,0.0,73
2018-12-14,19.4,1.0,80
2018-12-15,19.4,0.0,71
2018-12-16,19.0,0.0,67
2018-12-17,18.5,0.0,64
2018-12-18,19.2,0.0,59
2018-12-19,18.6,0.0,71
2018-12-20,18.9,0.2,75
2018-12-21,19.4,0.3,82
2018-12-22,20.0,0.0,76
2018-12-23,20.7,0.4,78
2018-12-24,20.3,0.8,84
2018-12-25,20.5,1.4,80
2018-12-26,20.3,0.8,77
2018-12-27,19.6,2.8,90
2018-12-28,20.7,0.1,77
2018-12-29,19.6,2.9,80
2018-12-30,19.3,1.0,77
2018-12-31,18.4,0.0,66
2019-01-01,17.9,0.0,55
2019-01-02,17.1,0.0,52
2019-01-03,18.1,0.0,50
2019-01-04,18.3,0.0,49
2019-01-05,18.1,0.0,55
2019-01-06,18.5,0.0,64
2019-01-07,18.7,0.0,64
2019-01-08,18.9,0.0,60
2019-01-09,18.9,0.0,49
2019-01-10,19.2,0.0,53
2019-01-11,19.1,0.0,61
2019-01-12,19.3,0.0,66
2019-01-13,19.1,0.0,65
2019-01-14,19.1,0.0,59
2019-01-15,18.5,0.0,45
2019-01-16,18.4,0.0,46
2019-01-17,18.9,0.0,51
2019-01-18,19.1,0.0,54
2019-01-19,18.7,0.0,52
2019-01-20,18.6,0.0,44
2019-01-21,18.7,0.0,62
2019-01-22,18.4,0.0,77
2019-01-23,19.0,0.0,73
2019-01-24,19.1,0.0,75
2019-01-25,19.0,0.6,78
2019-01-26,19.1,1.3,82
2019-01-27,18.9,0.0,75
2019-01-28,19.2,0.1,73
2019-01-29,19.1,0.0,73
2019-01-30,19.3,0.0,63
2019-01-31,19.1,0.0,64
2019-02-01,19.1,0.0,68
2019-02-02,19.8,0.0,66
2019-02-03,20.0,0.0,68
2019-02-04,20.7,0.0,61
2019-02-05,21.0,0.2,70
2019-02-06,20.5,1.1,78
2019-02-07,19.9,17.5,88
2019-02-08,20.3,2.2,79
2019-02-09,20.7,2.6,76
2019-02-10,20.3,2.1,81
2019-02-11,21.0,0.4,73
2019-02-12,21.1,0.0,60
2019-02-13,21.0,0.0,57
2019-02-14,21.4,0.0,59
2019-02-15,20.8,0.0,70
2019-02-16,22.1,0.0,59
2019-02-17,21.1,0.0,61
2019-02-18,20.9,0.0,56
2019-02-19,21.4,0.0,56
2019-02-20,22.5,0.0,63
2019-02-21,22.1,0.0,51
2019-02-22,21.8,0.0,42
2019-02-23,22.0,0.0,39
2019-02-24,22.9,0.0,35
2019-02-25,22.3,0.0,52
2019-02-26,21.2,0.0,65
2019-02-27,20.6,0.2,73
2019-02-28,20.9,0.0,60
2019-03-01,22.2,0.0,47
2019-03-02,21.6,2.6,69
2019-03-03,21.0,4.1,78
2019-03-04,21.5,1.4,72
2019-03-05,21.8,0.0,71
2019-03-06,21.7,0.0,63
2019-03-07,23.5,0.0,38
2019-03-08,22.3,0.0,49
2019-03-09,22.1,0.0,73
2019-03-10,22.1,0.0,72
2019-03-11,22.2,1.6,77
2019-03-12,23.1,0.0,64
2019-03-13,23.4,0.0,52
2019-03-14,23.4,0.0,45
2019-03-15,23.2,0.0,49
2019-03-16,22.7,0.0,56
2019-03-17,22.5,0.4,67
2019-03-18,22.2,0.0,69
2019-03-19,21.8,0.7,75
2019-03-20,21.3,3.7,81
2019-03-21,21.8,1.4,73
2019-03-22,22.8,0.6,62
